"Service","EC2-Other($)","Tax($)","Glue($)","S3($)","Support (Business)($)","CloudWatch($)","Savings Plans for  Compute usage($)","Relational Database Service($)","Cognito($)","CloudFront($)","CloudTrail($)","EC2-Instances($)","ElastiCache($)","MQ($)","VPC($)","Managed Streaming for Apache Kafka($)","Systems Manager($)","OpenSearch Service($)","Elastic Load Balancing($)","Elastic Container Service for Kubernetes($)","DynamoDB($)","DocumentDB (with MongoDB compatibility)($)","Certificate Manager($)","Route 53($)","API Gateway($)","QuickSight($)","EC2 Container Registry (ECR)($)","Hardened Red Hat Enterprise 7 (RHEL 7)($)","CIS  Linux 2 Benchmark - Level 2($)","CIS Ubuntu Linux 20.04 LTS Benchmark - Level 1($)","Redshift($)","DMS($)","Elastic MapReduce($)","Key Management Service($)","SQS($)","Managed Workflows for Apache Airflow($)","WAF($)","Kinesis($)","Lambda($)","Kinesis Firehose($)","Athena($)","Secrets Manager($)","Cost Explorer($)","SNS($)","CIS Ubuntu Linux 22.04 LTS Benchmark - Level 1($)","Service Catalog($)","SES($)","Direct Connect($)","CloudWatch Events($)","Budgets($)","Config($)","Glacier($)","Simple Workflow Service($)","Step Functions($)","X-Ray($)","CloudShell($)","CodeArtifact($)","Refund($)","Total costs($)"
"Service total","193284.3216397871","132010.51","129859.2578261869","68138.5790590456","56276.3468465044","49996.7937182858","39771.45","29962.1370243406","22295.1819735","21374.7246438642","16185.2214642","15779.4899042379","13657.9838853836","13259.9096780509","12878.2875652706","8195.9619841245","6943.254957966","6685.8621573642","5129.407550401","4419.36","4294.9526127946","3793.213126137","2748.32981736","2355.1376976913","2321.17514664","2178.2459874984","1568.8056129906","1147.22","796.996","599.756","516.3852097876","510.0018216633","481.262325565","465.3499513941","415.3491013853","368.3080322557","338.4636971114","223.383600124","214.4701385894","196.0080220006","131.5285329","57.0328833279","29.9181","25.7365888453","4.4","3.242631","0.7155072911","0.1934169498","0.0410548378","0.0093","0.00465","0.000684168","0.0001838652","0.0001702688","0.00004278","0.0000355125","4.916e-7","-3939.33","867950.3495617396"
"2023-04-01","459.1411936547","9477.68","163.4496750468","152.5710554032","3984.2913365888","61.207821481","111.6","33.9820423341","","0.0108053768","14.4979746","124.5219669065","22.63248","23.1253848267","24.4502675683","","6.51","17.0603241543","8.2481013215","11.16","0","2.5783409035","","0.186","0.0020653478","6.696","1.0374059112","2.88","0.48","0.48","","","","0.6531566724","0.0007546756","","0.1860000024","","0.0299553575","0.0306215034","","0.0536966484","","0.0024249214","0.46","","","","","","0.00465","0.0000019045","","0.0000008654","","","0.0000000528","-278.9","14433.001504029"
"2023-04-02","461.6834721068","","194.1166246992","153.6704616385","","62.0297567644","111.6","33.9830800771","","0.0067426957","14.476194","125.0643840528","22.63248","23.124472937","17.7659025705","","","17.0603242658","8.133072241","11.16","0","2.5769808527","","","0.0001090928","6.696","1.0374059112","2.88","0.48","0.48","","","","0.6536058624","0.00078746","","0.1860000024","","0.0474495957","0.0305865105","","0.0538919484","","0.0149396342","0.48","","","","","","","0.0000019331","","0.0000008982","","","0.0000000542","","1272.1247278046"
"2023-04-03","467.74016047","","351.559010316","207.749209214","","72.7562280054","111.6","33.9827728769","","0.0144122756","15.5764956","125.1237430139","22.63248","23.1253119192","16.2699053198","","","17.0603234369","8.3147040949","11.16","0.0001432345","2.5799455204","","","0.0011148878","6.696","1.0383818247","2.88","0.5","0.48","","","","0.6821364024","0.0007956561","","0.1860000024","","0.0499299882","0.0309005073","0.0006603","0.0539058984","","0.0126517851","0.48","","0.0000005345","","","","","0.0000019188","","0.0000009013","","","0.0000000515","","1500.337325956"
"2023-04-04","467.4060644269","","476.7558348924","171.7740019698","","64.8614485542","111.6","33.9794211914","0","0.0253808444","15.5266662","124.5604576241","22.63248","23.1268462272","18.6245072912","","","17.0603214981","8.2131836093","11.16","0.0001111967","2.5793808694","","","0.0019676978","6.696","1.0392513524","2.88","0.48","0.48","","","","0.7111970424","0.0008049318","","0.1860000024","","0.0493180407","0.0311567524","0.0672576","0.0537989484","","0.0118669431","0.48","","0.0000061442","","","","","0.0000019341","","0.0000008176","","","0.0000000616","","1583.054734664"
"2023-04-05","473.0340596456","","235.2844748328","157.6365696685","","63.9734172876","111.6","33.9725224037","","0.0209040352","15.2425884","124.6897582888","22.63248","23.1244107048","14.9643305403","","","17.0603215372","8.2497091773","11.16","0.0000431554","2.5828123792","","","0.0008284478","6.696","1.0406401229","2.88","0.48","0.48","","","","0.7099415424","0.024236682","","0.1860000024","","0.0492978915","0.0311011931","0.00596595","0.0532874484","","0.0122733901","0.48","","","","","","","0.0000019035","","0.0000007056","","","0.0000000515","","1328.3579773876"
"2023-04-06","470.2058072329","","629.5518248544","180.8744934964","","64.5253916452","111.6","33.9756929778","","0.0135301663","15.244281","124.5620950314","22.63248","23.1237018809","25.1189049599","","","17.0603001471","8.5527439043","11.16","0.0000262116","2.5837524083","","","0.0067884121","6.696","1.0421835396","2.88","0.48","0.48","","","","0.7095509424","0.0297393299","","0.1860000024","","0.0503493558","0.0317471332","0.0019158","0.0533990484","","0.0119942774","0.48","","","","0.0002277038","","","0.0000018855","","0.0000006001","","","0.0000000426","","1753.9249239897"
"2023-04-07","471.0858608229","","379.4790085896","163.6634235488","","63.0231176245","111.6","33.9836789905","","1.7994403349","16.4734062","124.9618968482","22.63248","23.1261499872","16.190021114","","","17.0602722847","8.781447437","11.16","0","2.580545089","","","0.0051869521","6.696","1.0428320136","2.88","0.48","0.48","","","","0.7081364124","0.0296684919","","0.1860000024","","0.0488160834","0.0319426193","1.2135756","0.0531014484","","0.0115671809","0.48","","0.0001070674","","0.0001088304","","","0.0000019166","","0.0000005873","","","0.000000037","","1481.9477941144"
"2023-04-08","469.7862814976","","169.4931637968","159.33208553","","61.5661429585","111.6","33.9847828887","","13.08724794","14.669169","124.1925856589","22.63248","23.1248221188","12.6353054563","","","17.0602785003","8.8746443061","11.16","0.0000791615","2.5811920969","","","0.0050827921","6.696","1.0428320136","2.88","0.48","0.48","","","","0.7084600524","0.0296539594","","0.1860000024","","0.0490351395","0.0318645225","0.06612765","0.0529805484","","0.0129423892","0.48","","0.0001140413","","0.0001095","","","0.0000019331","","0.0000004149","","","0.0000000444","","1268.9814659136"
"2023-04-09","471.6580026843","","164.4796298844","161.0098645496","","61.2781782699","111.6","33.9853391514","0","11.4597292143","14.5007646","124.4954927658","22.63248","23.1242449611","21.7302096479","","","17.0602803558","8.5410595482","11.16","0","2.5798295012","","","0.0059254509","6.696","1.0429938016","2.88","0.48","0.48","","","","0.7078629924","0.0296330207","","0.1860000024","","0.047562301","0.0318603702","0.0288393","0.0527666484","","0.0148477889","0.48","","0.0000901081","","0.0001040136","","","0.0000019612","","0.0000004487","","","0.0000000504","","1274.4595933924"
"2023-04-10","483.1200017338","","589.368190596","162.633280907","","62.7123011201","111.6","33.9806449628","0","14.8802388977","17.1599694","126.7912354708","22.63248","23.1303905958","14.4009394878","","","17.0602840988","8.5450772604","11.16","0.0000389199","2.5850393578","","","0.0084643509","6.696","1.0517170401","2.88","0.68","0.48","","","","0.7084656324","0.0296162524","","0.1860000024","","0.048552702","0.031550791","0.9040065","0.0525480984","","0.0125550727","0.1","","0.0001395554","","0.0001053528","","","0.00000194","","0.0000004018","","","0.000000032","","1715.629836533"
"2023-04-11","481.5032853254","","440.2472163108","164.3775326925","","63.0452111097","111.6","33.9706060398","0","14.8872311747","15.422562","120.5449054261","22.63248","23.1264060883","19.7212256147","","","17.060282691","8.3313121917","11.16","0.0000158852","2.58722777","","","0.0077775459","6.696","1.0542363137","2.88","0.96","0.48","","","","0.7074723924","0.02959874","","0.1860000024","","0.049694247","0.0309412307","0.2679516","0.0503744818","","0.0130832149","","","0.00018295","","0.0001040136","","","0.0000019279","","0.0000003211","","","0.0000000116","","1563.6309193129"
"2023-04-12","478.5045311458","","659.3329412484","164.7834433893","","63.2878927288","111.6","33.9715024903","","15.2883457403","14.9405244","119.515217632","22.63248","23.1269698394","21.8012003288","","","17.0602824111","8.3612526874","11.16","0","2.5851235143","","","0.0046820409","6.696","1.055272015","2.88","0.96","0.48","","","","0.7066577124","0.029549589","","0.1860000024","","0.0486304954","0.0307863971","0.0605802","0.0519761484","","0.0118971337","","","0.0001469547","","0.0001051296","","","0.0000019309","","0.0000002535","","","0.000000002","","1781.1539935609"
"2023-04-13","474.0474997681","","1165.9145008776","159.9120027815","","66.535046311","111.6","33.9747695793","","14.1288955805","14.922408","116.1725013048","22.63248","23.130478126","16.922723926","","","17.0603019409","8.9459144495","11.16","0.000024358","2.5866643573","","","0.0054632409","6.696","1.0605641125","2.88","0.96","0.48","","","","0.7075951524","0.0295793868","","0.1860000024","","0.0492516949","0.0311534915","0.01648425","0.0508162318","","0.0123490901","","","0.0001471598","","0.0001046832","0.0093","","0.0000016912","","0.0000005176","","","","","2272.8210220656"
"2023-04-14","478.0983132399","","802.7080541628","145.9114095556","","59.9242722019","111.6","33.9801926156","","13.4990297177","15.3409638","116.116402651","22.63248","23.1282175521","20.7382346748","","","17.0603289264","9.1758061733","11.16","0","2.5842637761","","","0.0039952359","6.696","1.0647007512","2.88","0.96","0.48","","","","0.7103126124","0.0295250182","","0.1860000024","","0.0488703725","0.0313158518","0.0103044","0.0543662484","","0.0124825447","","","0.0001153463","","0.0001051296","","","0.0000017553","","0.0000009798","","","","","1896.8260652957"
"2023-04-15","479.9097317912","","627.143430192","148.107007874","","61.1654817088","111.6","33.9856211289","","14.4271922788","15.6374292","108.6667100901","22.63248","23.127918683","12.3489313973","","","17.0603259337","9.2799259605","11.16","0","2.5873055508","","","0.0042588909","6.696","1.068180511","2.86","0.96","0.48","","","","0.7103209824","0.0294445722","","0.1860000024","","0.0476452413","0.0310777927","0.00008835","0.0542174484","","0.0126531801","","","0.0001348448","","0.0001046832","","","0.0000017695","","0.0000009952","","","","","1711.9796210532"
"2023-04-16","480.854956227","","257.6248085016","151.2156521553","","61.1337537993","111.6","33.9821249891","","17.212289558","15.6330024","107.6359330172","22.63248","23.1260925414","30.7915135765","","","17.0603268336","9.1661159244","11.16","0","2.5843334901","","","0.0042816759","6.696","1.0683435384","2.88","0.96","0.48","","","","0.7100587224","0.0294352628","","0.1860000024","","0.0473266187","0.0309841596","0.9500973","0.0545522484","","0.0127750283","","","0.0000969382","","0.0001049064","","","0.0000017899","","0.0000009627","","","","","1367.5234421676"
"2023-04-17","491.3799186359","","577.6567584048","191.6816314711","","66.3033792956","111.6","33.9918616238","","16.0732919054","16.2181584","109.2803646057","22.63248","23.1279023352","20.741868133","","0.0027621","17.0603267354","9.3819895929","11.16","0.0000195254","2.5898318876","","","0.0065634309","6.696","1.07079603","2.88","0.96","0.48","","","","0.7107087924","0.0294326494","","0.1860000024","","0.0485186193","0.03123327","0.06555105","0.0542174484","","0.0129770388","","","0.0001441123","","0.0001057992","","","0.0000018324","","0.0000009132","","","","","1734.1147956405"
