,date-time,EC2-Instances($),S3($),Relational Database Service($),EC2-Other($),Glue($),DocumentDB (with MongoDB compatibility)($),Elastic MapReduce($),CloudWatch($),VPC($),OpenSearch Service($),Redshift($),Managed Streaming for Apache Kafka($),SageMaker($),ElastiCache($),DMS($),Elastic Load Balancing($),QuickSight($),Elastic File System($),SNS($),Lambda($),Elastic Container Service for Kubernetes($),Rekognition($),Hardened Red Hat Enterprise 7 (RHEL 7)($),Step Functions($),Glacier($),DynamoDB($),Backup($),AppFlow($),Route 53($),SQS($),EC2 Container Registry (ECR)($),Key Management Service($),API Gateway($),CloudFront($),Athena($),Secrets Manager($),CloudWatch Events($),Cognito($),X-Ray($),Cost Explorer($),Service Catalog($),Systems Manager($),SES($),Simple Workflow Service($),Direct Connect($),CloudTrail($),CodeArtifact($),Elastic Container Service($),Migration Hub Refactor Spaces($),Location Service($)
date-time,0.0,1.607991782953623e-08,0.00031394018356623683,0.01258446283000693,1.163473558122682e-89,4.837682518811435e-50,2.056109081332769e-50,,2.0291964149617467e-24,2.057977914232748e-16,0.12561312381373507,,1.2420892776142575e-119,5.851945153382214e-38,6.981236245251831e-09,,7.530583054090092e-65,,3.626269421197649e-36,2.3738502933853372e-45,0.0025160978714422674,1.818600967649738e-13,7.503613470624774e-26,1.2034481841938477e-159,4.484631038825614e-05,2.908768802985394e-25,1.511383503922754e-37,5.4216198533409e-35,0.08404715479482884,0.170749850687303,1.5845410750087412e-52,0.08737828337979045,1.1895967832936712e-07,,1.1178992261386105e-14,0.7173452555246436,1.882115347895595e-71,,,,3.060125226318822e-08,0.9673766071101054,0.56731628169444,9.969002304890846e-30,6.264502566315664e-20,0.8230918211246359,0.653876481449381,3.0581032786607216e-08,,,
EC2-Instances($),1.607991782953623e-08,0.0,4.568476708725454e-37,0.28097786488590454,2.3440516203084744e-18,2.685854372355356e-13,1.7601863624504408e-24,,4.56851501136607e-23,8.718453438791177e-06,0.00608150724615674,,1.0326977812477748e-08,6.866198818804593e-12,2.1783782143717195e-07,,0.20446809218027506,,0.00040440465888486586,0.028564461186509064,2.4891215261963433e-09,0.5896711801122676,2.17184880188403e-08,0.0028814829198351363,0.04548773398478132,7.356491022312002e-11,0.005321662606576288,3.917674249542487e-05,0.13753765682479713,0.48850391129116116,0.99368817569484,0.010898513711624225,2.7720592306318056e-42,,0.043312508758132466,0.5048140309468215,0.01279552414340698,,,,1.9522475781818234e-13,0.5072473198721408,0.7226393704463187,1.1530235202366013e-09,1.4120542691123496e-15,0.5914139373788186,0.009910641034827293,8.125309378593052e-99,,,
S3($),0.00031394018356623683,4.568476708725454e-37,0.0,0.5500901683618692,0.017224940013874084,0.00016301395584246287,1.1193268308355312e-12,,0.24798413464167185,8.857771205506415e-39,4.364851679504779e-08,,0.3003587834633638,0.08549923232813611,3.748937949946024e-24,,0.009523721929915787,,0.2769195519331815,0.0004064536490700466,0.7037101721709274,0.26868115072848825,7.173433597965435e-05,0.1313043392226145,0.044771863919682436,0.00011603307845003826,0.39576545322708073,0.14758886340555522,0.7731059669280048,0.49373509487684303,0.7616432566864122,0.07625585396159451,5.349379074567134e-206,,0.0005797240223061396,0.703750883373632,0.18064376495440654,,,,0.3095138702835514,0.03129011183068938,0.47724915543385715,1.839989335292832e-05,6.02375928652006e-15,0.7464438921855402,2.5507494858019025e-05,2.5831721862614534e-37,,,
Relational Database Service($),0.01258446283000693,0.28097786488590454,0.5500901683618692,0.0,0.0010769448798322904,0.0017557493531064421,0.34295573202757706,,0.05873049323634263,0.028399414709514795,0.3243061641157,,0.002622344063480199,0.0008575069740135665,0.0002458119134333908,,0.07743248667348344,,0.3407296838692756,0.2591692668584792,0.1785946923821232,0.19272421157990918,0.1286525824678559,0.03310684472856711,0.4513447723721706,0.504075309168664,0.2552309063643043,0.4547535169079508,0.9652619657637412,0.8722742652079001,0.24827533748018968,0.6205733789417217,0.8331166548680259,,0.5684123760273737,0.9747001820544414,0.046474025253269755,,,,0.060169037777193485,0.0009458850614644719,0.9300303640792825,0.25490137015875225,0.46939012210745473,0.924897127067492,0.30219486693870246,0.9501586352190999,,,
EC2-Other($),1.163473558122682e-89,2.3440516203084744e-18,0.017224940013874084,0.0010769448798322904,0.0,8.878451516146958e-52,1.3949176711217724e-31,,6.343181917922962e-37,1.4598461907343157e-22,0.00751047784015329,,3.500271503584996e-81,1.4136609626138548e-41,1.7412777217982378e-16,,3.222282304675691e-65,,1.391700914664829e-13,1.6988838516452145e-17,0.019899017899662863,4.4182879124925165e-06,6.2887994207509175e-21,7.850443579919198e-69,8.072695073381504e-07,8.865056635229652e-12,3.0719009365277423e-16,1.8637534514137873e-13,0.30644612421388295,0.24138097537748623,1.7310635245043124e-25,0.00024055536493895228,4.995057849334654e-06,,1.5109601286334972e-17,0.9071242084575408,1.6545152494345743e-36,,,,1.6753682662656692e-18,0.013558830642538117,0.4411635055514604,4.4534259182603885e-17,2.444608435196562e-10,0.5043241014000311,2.433685864282845e-05,1.0104064083499643e-09,,,
Glue($),4.837682518811435e-50,2.685854372355356e-13,0.00016301395584246287,0.0017557493531064421,8.878451516146958e-52,0.0,3.7459231220556815e-73,,3.7731055463847183e-34,1.2987962019591369e-07,0.14406245191220535,,1.1664479382215543e-37,3.847413372841781e-47,5.6369507452918526e-11,,2.4394892982634883e-13,,7.81305066573139e-06,3.159562396442473e-11,6.276001315762547e-10,0.0005419069406884798,3.025232718402635e-12,3.733556555181188e-22,0.00025090324640708866,2.2756386290265543e-25,2.2253567869741117e-06,2.349392764083694e-05,0.6135438159599619,0.3100025104213203,9.484046241275982e-06,0.005016314540427454,3.785019118184464e-08,,0.18879903664935926,0.5966655520596507,7.307729198802253e-17,,,,2.63414235903902e-15,0.001850141573709621,0.5829320005165644,8.338228313302342e-19,2.5674975452849656e-17,0.5517655274932112,0.0010540649286647134,2.0542296765808695e-05,,,
DocumentDB (with MongoDB compatibility)($),2.056109081332769e-50,1.7601863624504408e-24,1.1193268308355312e-12,0.34295573202757706,1.3949176711217724e-31,3.7459231220556815e-73,0.0,,4.020090953977901e-40,0.006162969993484163,0.04215961571079175,,1.080317362877563e-31,4.421441914561178e-35,0.3799048031943606,,8.809088376226319e-10,,0.007817447335455354,2.922293355126658e-14,5.752099425147795e-07,0.008567419101613285,3.3311187131974874e-12,1.0405706546774692e-20,0.1513121093050742,3.661181259154535e-53,0.010218540543268045,0.018226213108722505,0.81055033577247,0.41777368452455177,0.006969131192584828,0.00884489808204538,1.8755612213283872e-17,,0.3439598526855134,0.5192539484775059,3.443097339113542e-14,,,,2.2848830882380792e-14,0.9318145352572288,0.6067897847667961,9.305318464539795e-23,8.481774351317564e-42,0.6049145244309734,0.007770975168731843,1.553414180142601e-11,,,
Elastic MapReduce($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CloudWatch($),2.0291964149617467e-24,4.56851501136607e-23,0.24798413464167185,0.05873049323634263,6.343181917922962e-37,3.7731055463847183e-34,4.020090953977901e-40,,0.0,3.2276379544319155e-22,0.0357006275325161,,4.02209333333917e-31,2.747202379291789e-23,2.6577619208223548e-06,,4.377969870810387e-22,,0.08614457706844952,0.4469568143182355,5.299954433421923e-14,0.32187467279545,1.8861058324902464e-18,2.360502498374473e-15,0.000710649706536552,7.10458391735661e-19,0.3905880651081309,0.09598656152943057,0.35071949464193747,0.04152363926624655,0.1349452806379576,5.978106210610849e-11,0.000680326293090177,,0.0005488148407647586,0.9478962637896585,1.3481061109775385e-10,,,,4.4773383862824006e-32,0.0002769864335709634,0.09043834358019898,7.741371180771195e-13,5.827996209178692e-14,8.998225636007876e-07,3.1056167954919127e-10,2.41655703997274e-07,,,
VPC($),2.057977914232748e-16,8.718453438791177e-06,8.857771205506415e-39,0.028399414709514795,1.4598461907343157e-22,1.2987962019591369e-07,0.006162969993484163,,3.2276379544319155e-22,0.0,4.1180707098152914e-14,,4.8398319731636504e-32,2.0279335487001518e-09,6.813912863026113e-49,,4.2157736002875613e-45,,4.530448956955186e-06,0.16848465278059432,0.46521947888076254,0.00021781988898271132,0.0020038748771966522,1.3029495675145196e-22,1.5265875069537322e-07,0.05251545281737642,2.3577972572829707e-08,8.389817891441987e-06,0.7593165202430283,0.24878599411940097,7.539547498739171e-09,0.00036010580805737226,3.869980040458371e-30,,1.0587488847143272e-19,0.640314738770019,4.645474307222509e-15,,,,4.004531656345234e-08,0.0034266573465687473,0.23106865871995044,0.11711765627802725,0.05397913110407286,0.08646215632490954,3.599661885789103e-11,1.0366575842495795e-10,,,
