date-time,date-time,EC2-Instances($),S3($),Relational Database Service($),EC2-Other($),Glue($),DocumentDB (with MongoDB compatibility)($),Elastic MapReduce($),CloudWatch($),VPC($),OpenSearch Service($),Redshift($),Managed Streaming for Apache Kafka($),SageMaker($),ElastiCache($),DMS($),Elastic Load Balancing($),QuickSight($),Elastic File System($),SNS($),Lambda($),Elastic Container Service for Kubernetes($),Rekognition($),Hardened Red Hat Enterprise 7 (RHEL 7)($),Step Functions($),Glacier($),DynamoDB($),Backup($),AppFlow($),Route 53($),SQS($),EC2 Container Registry (ECR)($),Key Management Service($),API Gateway($),CloudFront($),Athena($),Secrets Manager($),CloudWatch Events($),Cognito($),X-Ray($),Cost Explorer($),Service Catalog($),Systems Manager($),SES($),Simple Workflow Service($),Direct Connect($),CloudTrail($),CodeArtifact($),Elastic Container Service($),Migration Hub Refactor Spaces($),Location Service($)
2023-04-01,2023-04-01,124.5219669065,152.5710554032,33.9820423341,459.1411936547,163.4496750468,2.5783409035,0.0,61.207821481,24.4502675683,17.0603241543,0.0,0.0,,22.63248,0.0,8.2481013215,6.696,,0.0024249214,0.0299553575,11.16,,2.88,8.654e-07,1.9045e-06,0.0,,,0.186,0.0007546756,1.0374059112,0.6531566724,0.0020653478,0.0108053768,0.0,0.0536966484,0.0,0.0,0.0,0.0,0.0,6.51,0.0,0.0,0.0,14.4979746,5.28e-08,,,
2023-04-02,2023-04-02,125.0643840528,153.6704616385,33.9830800771,461.6834721068,194.1166246992,2.5769808527,0.0,62.0297567644,17.7659025705,17.0603242658,0.0,0.0,,22.63248,0.0,8.133072241,6.696,,0.0149396342,0.0474495957,11.16,,2.88,8.982e-07,1.9331e-06,0.0,,,0.0,0.00078746,1.0374059112,0.6536058624,0.0001090928,0.0067426957,0.0,0.0538919484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.476194,5.42e-08,,,
2023-04-03,2023-04-03,125.1237430139,207.749209214,33.9827728769,467.74016047,351.559010316,2.5799455204,0.0,72.7562280054,16.2699053198,17.0603234369,0.0,0.0,,22.63248,0.0,8.3147040949,6.696,,0.0126517851,0.0499299882,11.16,,2.88,9.013e-07,1.9188e-06,0.0001432345,,,0.0,0.0007956561,1.0383818247,0.6821364024,0.0011148878,0.0144122756,0.0006603,0.0539058984,0.0,0.0,0.0,0.0,0.0,0.0,5.345e-07,0.0,0.0,15.5764956,5.15e-08,,,
2023-04-04,2023-04-04,124.5604576241,171.7740019698,33.9794211914,467.4060644269,476.7558348924,2.5793808694,0.0,64.8614485542,18.6245072912,17.0603214981,0.0,0.0,,22.63248,0.0,8.2131836093,6.696,,0.0118669431,0.0493180407,11.16,,2.88,8.176e-07,1.9341e-06,0.0001111967,,,0.0,0.0008049318,1.0392513524,0.7111970424,0.0019676978,0.0253808444,0.0672576,0.0537989484,0.0,0.0,0.0,0.0,0.0,0.0,6.1442e-06,0.0,0.0,15.5266662,6.16e-08,,,
2023-04-05,2023-04-05,124.6897582888,157.6365696685,33.9725224037,473.0340596456,235.2844748328,2.5828123792,0.0,63.9734172876,14.9643305403,17.0603215372,0.0,0.0,,22.63248,0.0,8.2497091773,6.696,,0.0122733901,0.0492978915,11.16,,2.88,7.056e-07,1.9035e-06,4.31554e-05,,,0.0,0.024236682,1.0406401229,0.7099415424,0.0008284478,0.0209040352,0.00596595,0.0532874484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2425884,5.15e-08,,,
2023-04-06,2023-04-06,124.5620950314,180.8744934964,33.9756929778,470.2058072329,629.5518248544,2.5837524083,0.0,64.5253916452,25.1189049599,17.0603001471,0.0,0.0,,22.63248,0.0,8.5527439043,6.696,,0.0119942774,0.0503493558,11.16,,2.88,6.001e-07,1.8855e-06,2.62116e-05,,,0.0,0.0297393299,1.0421835396,0.7095509424,0.0067884121,0.0135301663,0.0019158,0.0533990484,0.0002277038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.244281,4.26e-08,,,
2023-04-07,2023-04-07,124.9618968482,163.6634235488,33.9836789905,471.0858608229,379.4790085896,2.580545089,0.0,63.0231176245,16.190021114,17.0602722847,0.0,0.0,,22.63248,0.0,8.781447437,6.696,,0.0115671809,0.0488160834,11.16,,2.88,5.873e-07,1.9166e-06,0.0,,,0.0,0.0296684919,1.0428320136,0.7081364124,0.0051869521,1.7994403349,1.2135756,0.0531014484,0.0001088304,0.0,0.0,0.0,0.0,0.0,0.0001070674,0.0,0.0,16.4734062,3.7e-08,,,
2023-04-08,2023-04-08,124.1925856589,159.33208553,33.9847828887,469.7862814976,169.4931637968,2.5811920969,0.0,61.5661429585,12.6353054563,17.0602785003,0.0,0.0,,22.63248,0.0,8.8746443061,6.696,,0.0129423892,0.0490351395,11.16,,2.88,4.149e-07,1.9331e-06,7.91615e-05,,,0.0,0.0296539594,1.0428320136,0.7084600524,0.0050827921,13.08724794,0.06612765,0.0529805484,0.0001095,0.0,0.0,0.0,0.0,0.0,0.0001140413,0.0,0.0,14.669169,4.44e-08,,,
2023-04-09,2023-04-09,124.4954927658,161.0098645496,33.9853391514,471.6580026843,164.4796298844,2.5798295012,0.0,61.2781782699,21.7302096479,17.0602803558,0.0,0.0,,22.63248,0.0,8.5410595482,6.696,,0.0148477889,0.047562301,11.16,,2.88,4.487e-07,1.9612e-06,0.0,,,0.0,0.0296330207,1.0429938016,0.7078629924,0.0059254509,11.4597292143,0.0288393,0.0527666484,0.0001040136,0.0,0.0,0.0,0.0,0.0,9.01081e-05,0.0,0.0,14.5007646,5.04e-08,,,
2023-04-10,2023-04-10,126.7912354708,162.633280907,33.9806449628,483.1200017338,589.368190596,2.5850393578,0.0,62.7123011201,14.4009394878,17.0602840988,0.0,0.0,,22.63248,0.0,8.5450772604,6.696,,0.0125550727,0.048552702,11.16,,2.88,4.018e-07,1.94e-06,3.89199e-05,,,0.0,0.0296162524,1.0517170401,0.7084656324,0.0084643509,14.8802388977,0.9040065,0.0525480984,0.0001053528,0.0,0.0,0.0,0.0,0.0,0.0001395554,0.0,0.0,17.1599694,3.2e-08,,,
