date-time,date-time,S3($),Kinesis($),Tax($),CloudTrail($),Kinesis Firehose($),Key Management Service($),SQS($),CloudWatch($),QuickSight($),Lambda($),Cost Explorer($),Athena($),Config($),Glue($),Service Catalog($),SNS($),Secrets Manager($),Simple Workflow Service($),Step Functions($),CloudShell($),Glacier($),CodeArtifact($),Systems Manager($),Total costs($)
2023-04-01,2023-04-01,2.7290421737,3.8160478128,43.25,0.01140459,1.2853159277,0.00014508,3.72e-07,0.0765857481,0.0,0.0812177717,0.0,0.0,0.0,0.0,0.0,1.86e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,51.249765986
2023-04-02,2023-04-02,2.7344835661,3.8129152457,0.0,0.01198119,1.2592234029,9.765e-05,3.72e-07,0.0773177328,0.0,0.1447460478,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.0407712523
2023-04-03,2023-04-03,2.7016063138,3.8196347282,0.0,0.012276,1.3330874655,1.395e-05,7.44e-07,0.0788618493,0.0,0.153914213,0.0,0.0,0.0,0.0,0.0,9.3e-07,9.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.0994054938
2023-04-04,2023-04-04,2.6845206862,3.8193163149,0.0,0.01110327,1.3003767823,0.00016182,3.72e-07,0.0754330946,0.0,0.1447180249,0.0,0.0,0.0,0.0,0.0,1.86e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.0356368749
2023-04-05,2023-04-05,2.68499009,3.8195597143,0.0,0.01160826,1.3156114816,0.00010044,7.44e-07,0.0753702965,0.0,0.1510464209,0.0,0.0,0.0,0.0,0.0,1.86e-06,9.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.0582986073
2023-04-06,2023-04-06,2.6850095253,3.8210819264,0.0,0.0117087,1.3495641055,9.765e-05,3.72e-07,0.0756694032,0.0,0.1607960306,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.103933758
2023-04-07,2023-04-07,2.6941922657,3.8155462866,0.0,0.0113832,1.2968115333,9.765e-05,3.72e-07,0.0748255823,0.0,0.1561955038,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.0490584387
2023-04-08,2023-04-08,2.6961729985,3.816022366,0.0,0.01134135,1.2814819978,0.00010323,3.72e-07,0.0747018956,0.0,0.1487866616,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.0286169165
2023-04-09,2023-04-09,2.6920276765,3.8141157768,0.0,0.01119348,1.2558856756,9.765e-05,3.72e-07,0.074218234,0.0,0.1454629866,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.9930078965
2023-04-10,2023-04-10,2.690911494,3.8181052549,0.0,0.0115413,1.3074923498,0.00010044,7.44e-07,0.0751795328,0.0,0.1527080782,0.0,0.0,0.0,0.0,0.0,1.86e-06,9.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.0560503537
2023-04-11,2023-04-11,2.3946715601,3.8198278711,0.0,0.01130043,1.3053276595,9.765e-05,3.72e-07,0.0744241321,0.0,0.1469165385,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.7525722583
2023-04-12,2023-04-12,2.9686211208,3.819673783,0.0,0.01154967,1.3196343327,9.765e-05,3.72e-07,0.0751724075,0.0,0.1532719444,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.3480273254
2023-04-13,2023-04-13,2.6838782482,3.8211516578,0.0,0.01250943,1.3263094848,0.00010602,7.44e-07,0.07808294,0.0,0.1526072273,0.0,0.0,0.0,0.0,0.0,1.86e-06,9.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.0746569121
2023-04-14,2023-04-14,2.6857358152,3.8166870819,0.0,0.01250292,1.2883065676,0.00010044,3.72e-07,0.0778732926,0.0,0.1508236102,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.0320361445
2023-04-15,2023-04-15,2.6869825273,3.8158265735,0.0,0.01235412,1.2795395515,9.765e-05,3.72e-07,0.0765833026,0.0,0.1497235358,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.0211136777
2023-04-16,2023-04-16,2.6811464741,3.8095475908,0.0,0.01204629,1.2076740234,9.765e-05,3.72e-07,0.0754807455,0.0,0.1405692685,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.9265684593
2023-04-17,2023-04-17,2.6838021393,3.8174800595,0.0,0.01250292,1.2948514472,0.00010044,7.44e-07,0.0763836818,0.0,0.1504228468,0.0,0.0,0.0,0.0,0.0,1.86e-06,9.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.0355554386
2023-04-18,2023-04-18,2.6774985637,3.8179464181,0.0,0.01207698,1.2876674286,5.022e-05,3.72e-07,0.0765497822,0.0,0.1455641297,0.0,0.0,0.0,0.0,0.0,9.3e-07,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.0173594743
2023-04-19,2023-04-19,2.6552511611,3.8172786069,0.0,0.01116558,1.2946581534,0.00010881,7.44e-07,0.075210784,0.0,0.1500947192,0.0,0.0,0.0,0.0,0.0,1.86e-06,9.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.0037797186
2023-04-20,2023-04-20,2.6530161939,3.8185686896,0.0,0.01119348,1.3108199737,0.00010323,1.116e-06,0.0768357599,0.0,0.1539095169,0.0,0.0,0.0,0.0,0.0,2.325e-06,1.395e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.024464235
2023-04-21,2023-04-21,2.395739966,3.8170236457,0.0,0.01210767,1.2994748411,9.765e-05,3.72e-07,0.076751639,0.0,0.1529866931,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.7541885219
2023-04-22,2023-04-22,2.9298580421,3.8121038065,0.0,0.01212162,1.2384595988,9.765e-05,3.72e-07,0.0758044602,0.0,0.1431893879,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.2116409825
2023-04-23,2023-04-23,2.6617666518,3.8078087507,0.0,0.01182588,1.1950542307,0.00010323,3.72e-07,0.0753151409,0.0,0.138352144,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.8902324451
2023-04-24,2023-04-24,2.62461265,3.8178655539,0.0,0.01211976,1.29999351,0.00010602,7.44e-07,0.0775419626,0.0,0.1491084229,0.0,0.0,0.0,0.0,0.0,1.86e-06,9.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.9813597834
2023-04-25,2023-04-25,2.625355704,3.8171757545,0.0,0.01215882,1.2942667385,0.00010602,3.72e-07,0.0764076063,0.0,0.148109324,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.9735863843
2023-04-26,2023-04-26,2.6234633666,3.8177327146,0.0,0.01189284,1.2873976894,0.00010602,7.44e-07,0.0758144571,0.0,0.1440414088,0.0,0.0,0.0,0.0,0.0,1.86e-06,9.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.9604604005
2023-04-27,2023-04-27,2.619142895,3.8186529768,0.0,0.01187517,1.3190161522,0.00010881,3.72e-07,0.0766659954,0.0,0.1547023525,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.0001707689
2023-04-28,2023-04-28,2.6268318612,3.8189970071,0.0,0.01212534,1.3217672091,0.00010602,3.72e-07,0.0767140957,0.0,0.1543630124,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.0109109625
2023-04-29,2023-04-29,2.6295713804,3.8167497418,0.0,0.01192353,1.2904219538,0.00010323,3.72e-07,0.0759603471,0.0,0.1496375299,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.97437413
2023-04-30,2023-04-30,2.6330424528,3.8101924173,0.0,0.01188819,1.2209771326,0.00010323,3.72e-07,0.0753521571,0.0,0.1424034569,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.8939654537
2023-05-01,2023-05-01,2.6364553782,3.8137836005,44.62,0.01203513,1.2598373618,9.765e-05,3.72e-07,0.0758723919,0.0,0.0795741811,0.0,0.0,0.0,0.0,0.0,0.0,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,52.4976607155
2023-05-02,2023-05-02,2.6358274183,3.8210857286,0.0,0.01217184,1.3360360385,0.00010044,7.44e-07,0.0768943016,0.0,0.1478829768,0.0,0.0,0.0,0.0,0.0,1.86e-06,9.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.0300106478
2023-05-03,2023-05-03,2.6007553768,3.8174143193,0.0,0.01188912,1.3024475375,9.765e-05,3.72e-07,0.0751603948,0.0,0.1446863337,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.9524571491
2023-05-04,2023-05-04,2.5999368057,3.8194184435,0.0,0.01119162,1.3177761715,0.00010323,7.44e-07,0.070024754,0.0,0.1485635791,0.0,0.0,0.0,0.0,0.0,1.86e-06,9.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.9670265078
2023-05-05,2023-05-05,2.6010968961,3.8165227903,0.0,0.01087821,1.2851535413,9.765e-05,3.72e-07,0.0597300165,0.0,0.1455790914,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.9190646126
2023-05-06,2023-05-06,2.5963060649,3.8133444418,0.0,0.01051923,1.2536998774,5.301e-05,3.72e-07,0.0545151847,0.0,0.1409249806,0.0,0.0,0.0,0.0,0.0,9.3e-07,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.8693687414
2023-05-07,2023-05-07,2.5938849122,3.8080270138,0.0,0.01005702,1.1749242891,0.00010323,3.72e-07,0.0511218425,0.0,0.1284977387,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.7666224633
2023-05-08,2023-05-08,2.5967161445,3.8173060302,0.0,0.01078521,1.2964056463,0.00010044,7.44e-07,0.0615501615,0.0,0.1469063688,0.0,0.0,0.0,0.0,0.0,1.86e-06,9.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.9297819053
2023-05-09,2023-05-09,2.6014358008,3.8175984123,0.0,0.01098051,1.3029818885,9.765e-05,3.72e-07,0.0638275942,0.0,0.149434276,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.9463625488
2023-05-10,2023-05-10,2.603187329,3.8170587096,0.0,0.01087356,1.2959931242,9.765e-05,3.72e-07,0.0636746877,0.0,0.1480704248,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.9389619023
2023-05-11,2023-05-11,2.6087166812,3.8178829152,0.0,0.01184913,1.3057937079,0.00010044,7.44e-07,0.0651514458,0.0,0.1501729802,0.0,0.0,0.0,0.0,0.0,1.86e-06,9.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.9596792043
2023-05-12,2023-05-12,2.6044947735,3.8190475897,0.0,0.01148457,1.3143935135,0.00010044,3.72e-07,0.0647009059,0.0,0.1511479502,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.9653761598
2023-05-13,2023-05-13,2.6037837416,3.8152091725,0.0,0.01122603,1.2754355821,9.765e-05,3.72e-07,0.0640730357,0.0,0.1476398477,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.9174714766
2023-05-14,2023-05-14,2.5993911807,3.8138438865,0.0,0.01109955,1.2590376458,9.765e-05,3.72e-07,0.0637008667,0.0,0.1456079894,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.8927851861
2023-05-15,2023-05-15,2.5758330818,3.8172983574,0.0,0.01126044,1.2981638438,5.58e-05,3.72e-07,0.0645246335,0.0,0.1492967348,0.0,0.0,0.0,0.0,0.0,9.3e-07,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.9164388433
2023-05-16,2023-05-16,2.5983650513,3.8164571365,0.0,0.01161849,1.281994334,0.0001116,7.44e-07,0.065587193,0.0,0.145379139,0.0,0.0,0.0,0.0,0.0,1.86e-06,9.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.9195248478
2023-05-17,2023-05-17,2.5870728504,3.8186730545,0.0,0.01174404,1.3077706816,0.00010323,3.72e-07,0.0656245361,0.0,0.1487790354,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.939773845
2023-05-18,2023-05-18,2.6011344056,3.8216754643,0.0,0.01171242,1.3396427488,0.00010044,7.44e-07,0.0649911108,0.0,0.1523585815,0.0,0.0,0.0,0.0,0.0,1.86e-06,9.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.991627075
2023-05-19,2023-05-19,2.5996841387,3.8241489591,0.0,0.01169754,1.3701257171,9.765e-05,3.72e-07,0.065684787,0.0,0.1561508133,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.0275960222
2023-05-20,2023-05-20,2.6106357597,3.8249487502,0.0,0.01154037,1.3511796694,9.765e-05,3.72e-07,0.0644760094,0.0,0.1458403325,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.0087249582
2023-05-21,2023-05-21,2.6118042545,3.823524744,0.0,0.01142691,1.3297358672,9.765e-05,3.72e-07,0.0639899206,0.0,0.1412401507,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.981825914
2023-05-22,2023-05-22,2.5971571986,3.8284071102,0.0,0.01156362,1.4024679043,0.00014508,3.72e-07,0.0657930146,0.0,0.1557668521,0.0,0.0,0.0,0.0,0.0,1.86e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.0613076618
2023-05-23,2023-05-23,2.6031617808,3.831118102,0.0,0.01198119,1.4226236282,9.765e-05,3.72e-07,0.065931511,0.0,0.1546838549,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.0896041339
2023-05-24,2023-05-24,2.5849219416,3.8345291304,0.0,0.01220439,1.4431763448,0.00010881,1.116e-06,0.0662569616,0.0,0.1518192388,0.0,0.0,0.0,0.0,0.0,2.325e-06,1.395e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.0930342082
2023-05-25,2023-05-25,2.5848457823,3.8346400856,0.0,0.01229274,1.4521101189,0.00010323,3.72e-07,0.0664290637,0.0,0.1564094815,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.106836919
2023-05-26,2023-05-26,2.5847965584,3.8361203008,0.0,0.01226577,1.4618077232,0.00010323,3.72e-07,0.0662875481,0.0,0.1547488317,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.1161363792
2023-05-27,2023-05-27,2.5975363019,3.8316348712,0.0,0.01198212,1.4164611151,0.00010323,3.72e-07,0.0652567377,0.0,0.1496646473,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.0726454402
2023-05-28,2023-05-28,2.6017163588,3.8304837016,0.0,0.01175241,1.3920589387,0.00010323,3.72e-07,0.0650529538,0.0,0.1433157633,0.0,0.0,0.0,0.0,0.0,1.395e-06,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.0444897732
2023-05-29,2023-05-29,2.5753155996,3.8350403253,0.0,0.010323,1.4608201413,2.79e-06,3.72e-07,0.0467980748,0.0,0.1583721245,0.0,0.0,0.0,0.0,0.0,4.65e-07,4.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.0866775425
