,date-time,EC2-Instances($),S3($),Relational Database Service($),EC2-Other($),Glue($),DocumentDB (with MongoDB compatibility)($),Elastic MapReduce($),CloudWatch($),VPC($),OpenSearch Service($),Redshift($),Managed Streaming for Apache Kafka($),SageMaker($),ElastiCache($),DMS($),Elastic Load Balancing($),QuickSight($),Elastic File System($),SNS($),Lambda($),Elastic Container Service for Kubernetes($),Rekognition($),Hardened Red Hat Enterprise 7 (RHEL 7)($),Step Functions($),Glacier($),DynamoDB($),Backup($),AppFlow($),Route 53($),SQS($),EC2 Container Registry (ECR)($),Key Management Service($),API Gateway($),CloudFront($),Athena($),Secrets Manager($),CloudWatch Events($),Cognito($),X-Ray($),Cost Explorer($),Service Catalog($),Systems Manager($),SES($),Simple Workflow Service($),Direct Connect($),CloudTrail($),CodeArtifact($),Elastic Container Service($),Migration Hub Refactor Spaces($),Location Service($)
date-time,0.0,,5.944276099352566e-98,,,5.594207168945326e-47,,,0.7040115678544542,,,,,,,,,2.4599016650072855e-25,,0.24909734976109552,0.0013859299869797095,,,,1.0266395824427486e-85,5.82224564072486e-74,,,,,2.6748709756048026e-115,,7.753535647530538e-114,,,1.2867419966495796e-41,3.0793964439138435e-80,,,,2.7636652510722638e-08,1.3903080167035833e-41,,,3.3472834024209093e-84,,0.6441992439794806,,,,
EC2-Instances($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3($),5.944276099352566e-98,,0.0,,,1.0544306721340223e-24,,,0.01143034151995224,,,,,,,,,1.9816096983538297e-22,,0.29050531047883393,0.00030192328077794674,,,,1.0818196802329918e-64,7.385175436007452e-36,,,,,1.0996223567677254e-79,,7.934783806453913e-78,,,2.5057693088539623e-24,7.256031714712751e-97,,,,0.0003138568583894186,2.4258252943523e-15,,,3.428210202706496e-64,,0.004709953040488006,,,,
Relational Database Service($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC2-Other($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glue($),5.594207168945326e-47,,1.0544306721340223e-24,,,0.0,,,0.005481736445929781,,,,,,,,,6.03922830049677e-60,,7.821497191665296e-05,2.7972337590469545e-05,,,,2.766290350511076e-08,1.309490113374272e-09,,,,,8.069627018080077e-60,,4.5723615086162265e-50,,,2.0145122644200826e-149,1.345892753861336e-07,,,,1.0141484146821002e-06,7.534573968370893e-29,,,1.2314991029062248e-08,,0.12639508524317247,,,,
DocumentDB (with MongoDB compatibility)($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elastic MapReduce($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CloudWatch($),0.7040115678544542,,0.01143034151995224,,,0.005481736445929781,,,0.0,,,,,,,,,0.04295530726471758,,8.409351837788914e-17,3.913426442981583e-08,,,,8.552782587074241e-06,1.1168439934438846e-05,,,,,0.03251979520504069,,6.169355018447287e-05,,,0.008348502696698987,0.016931613645250695,,,,3.9171708103746456e-11,0.4256172665241871,,,1.5889881393638792e-05,,1.5883982324356012e-85,,,,
VPC($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenSearch Service($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redshift($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managed Streaming for Apache Kafka($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SageMaker($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ElastiCache($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMS($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elastic Load Balancing($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuickSight($),2.4599016650072855e-25,,1.9816096983538297e-22,,,6.03922830049677e-60,,,0.04295530726471758,,,,,,,,,0.0,,0.004100196020364592,0.0013548807681827138,,,,3.4449043107475155e-06,2.5488430667604268e-05,,,,,2.198180121598212e-25,,9.36860314816995e-22,,,6.16057492434198e-123,2.1510094770042402e-05,,,,0.000172384873653253,6.291695216881192e-08,,,1.0104064915826272e-05,,0.2614958041235864,,,,
Elastic File System($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNS($),0.24909734976109552,,0.29050531047883393,,,7.821497191665296e-05,,,8.409351837788914e-17,,,,,,,,,0.004100196020364592,,0.0,9.54701689766911e-08,,,,2.7708605235766854e-13,5.489836352784634e-07,,,,,2.195616477748327e-07,,5.845215432437584e-07,,,0.0001731270076333996,0.0004995599529292506,,,,2.2438955115342396e-26,0.3526271556634198,,,9.688672340272878e-14,,2.1737733053446813e-06,,,,
Lambda($),0.0013859299869797095,,0.00030192328077794674,,,2.7972337590469545e-05,,,3.913426442981583e-08,,,,,,,,,0.0013548807681827138,,9.54701689766911e-08,0.0,,,,0.44535043564345334,0.0005799329888201971,,,,,3.215287853044924e-11,,4.297770863721268e-13,,,6.480160624723052e-05,0.0008432260573652163,,,,0.0213696529314334,2.6353572573737426e-05,,,0.3627090251279817,,3.1011155431624635e-05,,,,
Elastic Container Service for Kubernetes($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rekognition($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardened Red Hat Enterprise 7 (RHEL 7)($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step Functions($),1.0266395824427486e-85,,1.0818196802329918e-64,,,2.766290350511076e-08,,,8.552782587074241e-06,,,,,,,,,3.4449043107475155e-06,,2.7708605235766854e-13,0.44535043564345334,,,,0.0,8.954043492875862e-79,,,,,1.4462727314812233e-36,,1.9354525025561416e-38,,,2.6561628156805706e-07,3.0815741601201637e-127,,,,3.0634470699304504e-43,1.909207843719117e-17,,,1.0690540758437662e-209,,0.005577149191389598,,,,
Glacier($),5.82224564072486e-74,,7.385175436007452e-36,,,1.309490113374272e-09,,,1.1168439934438846e-05,,,,,,,,,2.5488430667604268e-05,,5.489836352784634e-07,0.0005799329888201971,,,,8.954043492875862e-79,0.0,,,,,6.977738525957079e-39,,6.164046622278084e-41,,,1.629365736591492e-08,2.1516920912131467e-65,,,,4.660380491568473e-31,5.796887956542947e-24,,,1.0628943750798715e-72,,0.003067128365379266,,,,
DynamoDB($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backup($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AppFlow($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Route 53($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQS($),2.6748709756048026e-115,,1.0996223567677254e-79,,,8.069627018080077e-60,,,0.03251979520504069,,,,,,,,,2.198180121598212e-25,,2.195616477748327e-07,3.215287853044924e-11,,,,1.4462727314812233e-36,6.977738525957079e-39,,,,,0.0,,3.845183244647e-312,,,2.444521462401775e-48,4.1766833944197207e-50,,,,0.3136687757863459,9.360960477511296e-42,,,3.2871708691885047e-35,,0.5366366464221111,,,,
EC2 Container Registry (ECR)($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Management Service($),7.753535647530538e-114,,7.934783806453913e-78,,,4.5723615086162265e-50,,,6.169355018447287e-05,,,,,,,,,9.36860314816995e-22,,5.845215432437584e-07,4.297770863721268e-13,,,,1.9354525025561416e-38,6.164046622278084e-41,,,,,3.845183244647e-312,,0.0,,,2.4993771930868407e-40,5.9939406687430465e-55,,,,0.14175484991883297,1.3068325154643916e-40,,,2.2024665639442995e-37,,0.02027006734570249,,,,
API Gateway($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CloudFront($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athena($),1.2867419966495796e-41,,2.5057693088539623e-24,,,2.0145122644200826e-149,,,0.008348502696698987,,,,,,,,,6.16057492434198e-123,,0.0001731270076333996,6.480160624723052e-05,,,,2.6561628156805706e-07,1.629365736591492e-08,,,,,2.444521462401775e-48,,2.4993771930868407e-40,,,0.0,3.8381535883994605e-06,,,,2.351952366763182e-06,5.113464085428549e-23,,,4.2801342937666394e-07,,0.14426476059629464,,,,
Secrets Manager($),3.0793964439138435e-80,,7.256031714712751e-97,,,1.345892753861336e-07,,,0.016931613645250695,,,,,,,,,2.1510094770042402e-05,,0.0004995599529292506,0.0008432260573652163,,,,3.0815741601201637e-127,2.1516920912131467e-65,,,,,4.1766833944197207e-50,,5.9939406687430465e-55,,,3.8381535883994605e-06,0.0,,,,2.094140604236089e-30,1.2781732959059326e-12,,,2.514396023697088e-128,,0.10466379297553856,,,,
CloudWatch Events($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cognito($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X-Ray($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Explorer($),2.7636652510722638e-08,,0.0003138568583894186,,,1.0141484146821002e-06,,,3.9171708103746456e-11,,,,,,,,,0.000172384873653253,,2.2438955115342396e-26,0.0213696529314334,,,,3.0634470699304504e-43,4.660380491568473e-31,,,,,0.3136687757863459,,0.14175484991883297,,,2.351952366763182e-06,2.094140604236089e-30,,,,0.0,0.13194304027819656,,,2.3032074771633605e-44,,5.385638567581377e-05,,,,
Service Catalog($),1.3903080167035833e-41,,2.4258252943523e-15,,,7.534573968370893e-29,,,0.4256172665241871,,,,,,,,,6.291695216881192e-08,,0.3526271556634198,2.6353572573737426e-05,,,,1.909207843719117e-17,5.796887956542947e-24,,,,,9.360960477511296e-42,,1.3068325154643916e-40,,,5.113464085428549e-23,1.2781732959059326e-12,,,,0.13194304027819656,0.0,,,5.784619132439115e-17,,0.6367410526454825,,,,
Systems Manager($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
SES($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simple Workflow Service($),3.3472834024209093e-84,,3.428210202706496e-64,,,1.2314991029062248e-08,,,1.5889881393638792e-05,,,,,,,,,1.0104064915826272e-05,,9.688672340272878e-14,0.3627090251279817,,,,1.0690540758437662e-209,1.0628943750798715e-72,,,,,3.2871708691885047e-35,,2.2024665639442995e-37,,,4.2801342937666394e-07,2.514396023697088e-128,,,,2.3032074771633605e-44,5.784619132439115e-17,,,0.0,,0.006289893555589892,,,,
Direct Connect($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CloudTrail($),0.6441992439794806,,0.004709953040488006,,,0.12639508524317247,,,1.5883982324356012e-85,,,,,,,,,0.2614958041235864,,2.1737733053446813e-06,3.1011155431624635e-05,,,,0.005577149191389598,0.003067128365379266,,,,,0.5366366464221111,,0.02027006734570249,,,0.14426476059629464,0.10466379297553856,,,,5.385638567581377e-05,0.6367410526454825,,,0.006289893555589892,,0.0,,,,
CodeArtifact($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
Elastic Container Service($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migration Hub Refactor Spaces($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location Service($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
