date-time,date-time,EC2-Instances($),S3($),Relational Database Service($),EC2-Other($),Glue($),DocumentDB (with MongoDB compatibility)($),Elastic MapReduce($),CloudWatch($),VPC($),OpenSearch Service($),Redshift($),Managed Streaming for Apache Kafka($),SageMaker($),ElastiCache($),DMS($),Elastic Load Balancing($),QuickSight($),Elastic File System($),SNS($),Lambda($),Elastic Container Service for Kubernetes($),Rekognition($),Hardened Red Hat Enterprise 7 (RHEL 7)($),Step Functions($),Glacier($),DynamoDB($),Backup($),AppFlow($),Route 53($),SQS($),EC2 Container Registry (ECR)($),Key Management Service($),API Gateway($),CloudFront($),Athena($),Secrets Manager($),CloudWatch Events($),Cognito($),X-Ray($),Cost Explorer($),Service Catalog($),Systems Manager($),SES($),Simple Workflow Service($),Direct Connect($),CloudTrail($),CodeArtifact($),Elastic Container Service($),Migration Hub Refactor Spaces($),Location Service($)
2023-04-01,2023-04-01,0.1667064252,428.0122480919,351.0188356162,30.2244493952,262.1101442547,158.1372324606,171.7328367783,736.4515539477,75.9531657036,62.3349962162,4674.8379936436,35.7561903389,42.4327999992,70.5981601128,138.93642,39.2381680241,29.949720012,34.4144400449,16.5406444112,6.9876422998,20.088,18.5662875,21.12,2.46936e-05,35.4136054079,11.5036387725,3.0040015531,0.9227320214,5.951489988,2.4160367597,1.3569180479,1.3375018275,1.3319637235,0.000317847,0.5107932,0.9689638992,4.743e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.81176064,5.28e-08,3.404e-07,0.0,0.0
2023-04-02,2023-04-02,0.1604130763,476.117375801,351.1865854647,30.8830210496,437.09741832,151.0442336892,176.204557212,747.3157022955,100.0896276237,62.3349722084,43.0874990714,38.1744227365,42.4327999992,70.5981601122,138.9364405635,38.1800893005,29.391720012,34.4156534366,34.257067676,13.2266237185,20.088,17.12595,21.12,2.86478e-05,52.7701322782,23.9887046197,3.0067343976,0.1714950881,6.004978752,5.0395981047,1.3461568488,1.340825958,1.2500495611,0.0050776607,0.63431115,1.0776901992,5.208e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.19016929,5.28e-08,3.5e-09,0.0,0.0
2023-04-03,2023-04-03,2.9234930318,872.7829563784,351.415108399,34.7421906208,492.6877736187,159.6719990079,184.7965492237,808.0779814956,78.2808357006,62.3349396065,45.4120066053,34.2317039783,42.4325176874,70.5981601104,138.9364341383,43.4480508855,33.297720012,34.4759893969,8.00520002,13.5519187762,20.088,21.099375,21.12,2.7662e-05,68.418539885,24.3149524507,3.0092649641,0.184152361,5.962722156,1.3897429962,1.3479535946,1.930224618,1.3876335901,0.0044331683,1.42255125,1.0940855831,5.208e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.551019395,5.28e-08,7.9e-09,0.0,0.0
2023-04-04,2023-04-04,0.1749822798,584.4881010318,384.4536210772,31.8563213482,721.2310302054,157.968457974,181.7996772258,707.8705503054,74.7596223564,62.3349510482,45.4137688072,34.3246839625,42.4327999992,70.5981601118,153.5839359361,41.3020459894,29.949720012,34.4600487269,8.7497559639,13.3102540516,20.088,20.671575,21.12,2.46976e-05,71.049490829,24.1002466976,3.0099592846,2.8054031977,6.032752644,1.4262396685,1.3505924802,2.043183348,1.3407608534,0.0051794017,1.09535865,1.0724150333,5.022e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.89858313,5.28e-08,9.7e-09,0.0,0.0
2023-04-05,2023-04-05,0.2218867325,559.4033082978,394.8268682601,41.8900719062,505.3231399221,162.3956879825,183.2336982498,755.6694723316,81.3015257566,62.3349511847,44.4007158435,40.1601928054,42.4327999992,70.5981601104,162.3724341518,46.0524889103,34.5067200217,34.4860786416,16.0459250249,13.5332470772,20.088,19.876425,21.12,2.12431e-05,68.1361789554,24.2346632271,3.010059399,2.159810257,6.06302712,2.4246765058,1.3701798683,1.838561958,1.3485927481,0.00060741,0.7570572,1.0921455,4.092e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.069840335,4.4e-08,7.8e-09,0.0,0.0
2023-04-06,2023-04-06,0.8122337092,410.0852986831,395.4631647398,40.7655929249,478.9519052631,157.068592305,183.4450383426,768.1578780623,77.9874350682,62.3349144209,44.7377916432,37.4237890622,42.4327999992,70.5981601104,163.3377770148,43.8035240863,35.343720024,34.505999679,23.9082955723,13.3114972682,20.088,19.815975,21.12,1.82829e-05,58.4350416699,24.0339012403,3.0104213615,4.2870580176,6.06326334,3.581612036,1.3855464013,1.326290058,1.3559548237,0.0017977714,1.2871665,1.0936707,3.441e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.8e-08,0.0,382.34371203,4.26e-08,2.198e-07,0.0,0.0
2023-04-07,2023-04-07,0.7482860911,385.1504950568,373.4995152576,34.7975590618,456.1288014984,163.998202383,185.9640461357,742.0308566639,67.2528807785,62.3349165557,43.5724522512,36.1647653172,42.4327999992,70.5981601104,165.2684565258,39.0016007134,30.879720024,34.5169067578,16.8224329886,13.2656085961,20.088,19.5567375,21.12,1.68056e-05,28.2622216256,23.9662122487,3.0117078165,0.1925658708,6.0745476752,2.5819856959,1.3861161535,1.335240378,1.2824268163,0.0007624183,0.1242108,1.08385455,3.255e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.75472231,4.44e-08,5.2e-09,0.0,0.0
2023-04-08,2023-04-08,0.20411897,359.5577315788,356.5624576835,29.7893956251,231.0706950714,199.6481147115,182.9548993782,647.863220794,63.600500344,62.3349508505,43.6333650535,36.1431496855,42.4327999992,70.5981601104,165.2684564894,35.827658228,30.879720024,34.4974150898,8.1611460242,13.2254364663,20.088,19.61835,21.12,1.38468e-05,87.7023816151,23.8443321204,3.0113598553,0.2022377257,6.0956226703,1.3185096279,1.3863640512,1.339947108,1.2579166414,0.3000115783,0.10552245,1.0696302,2.883e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.300745685,3.7e-08,5.5e-09,0.0,0.0
2023-04-09,2023-04-09,0.1520558497,351.9001313485,359.0121939648,25.159436258,214.3229730675,190.3625645374,186.5422535031,607.5368319724,59.3269517571,62.3349915049,44.133231241,35.6553574862,42.4327999992,70.5981601104,165.2684527931,35.1558161436,30.879720024,34.488948245,6.4553873636,13.284380616,20.088,17.077125,21.08,1.2861e-05,53.4891739804,23.8284116031,3.0126138447,3.9597963015,6.09318888,1.3864290981,1.3863640512,1.3731989496,1.2082170753,0.2194760701,0.12926535,0.95376615,2.418e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.70119475,4.31e-08,3.3e-09,0.0,0.0
2023-04-10,2023-04-10,0.1550424739,577.835939066,359.4540896357,34.7349076795,570.8461660647,216.245977955,197.5339296132,776.084110465,75.2771655765,62.3350454308,44.7438501424,35.9390773831,42.4327999992,70.5981601104,165.2684528252,45.8745973683,36.112830024,34.4965820048,6.5098433541,13.4823109295,20.088,20.527425,21.1,1.09137e-05,79.1766108703,24.5334459163,3.0150486944,0.497647034,5.831222388,1.4438959905,1.3912756946,2.2310067696,1.4106290053,0.2705717188,0.49908915,0.9879855,2.139e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.085447275,3.04e-08,4.4e-09,0.0,0.0
