,std,mean,volatility
Red Hat Enterprise Linux (RHEL) 8.4 with support by ProComputers($),0.010050378152592129,0.000505050505050505,1989.9748742132413
IoT($),3.6322066643467934e-07,1.8252525252525253e-08,1989.9748742132401
Direct Connect($),0.1498955026705241,0.0075351592103535345,1989.2811616317701
Textract($),0.031662932126657446,0.0017261363636363637,1834.323915171728
Config($),3.4857643570532737,0.22841974242424237,1526.0346238282627
CodeArtifact($),2.343132303959025e-07,1.9946717171717172e-08,1174.695707462778
RHEL 8 with Support by Supported Images($),0.4065669504601871,0.035883838383838386,1133.0085318946803
CloudShell($),1.918603116560997e-06,2.4104419191919195e-07,795.9549248148625
Elastic Container Service($),3.809537621285195e-07,6.642853535353535e-08,573.4790931353042
Tax($),3765.9736939729037,685.8135353535355,549.125017200419
Support (Business)($),1456.3422360343716,266.6751897314298,546.1108839937689
Step Functions($),10.544430671578118,2.4292007692944444,434.06995440071114
Redshift($),969.3515809810073,234.34870013852446,413.6364231625862
Transfer Family($),1.5755561834224863,0.397624355755303,396.24237313875193
Managed Workflows for Apache Airflow($),4.064348859247323,1.1792884926848484,344.6441548830982
Kinesis Firehose($),0.2448602680053722,0.07456778478560606,328.3727265190771
SES($),0.0058518770041243295,0.0019434382194444446,301.10949478996866
CloudWatch Events($),0.261601693580347,0.08852741567727272,295.50359239449364
Service Catalog($),0.012053040518195278,0.004836469696969697,249.21153803045934
CloudTrail($),100.0544851216968,43.597571755151506,229.49554549416922
Athena($),1.0980745778713144,0.5739612189393939,191.31511705623842
Kinesis($),11.49990132514069,6.246856958919951,184.090998093367
AppFlow($),9.50241824151471,5.268235257127273,180.37194198302188
CIS  Linux 2 Benchmark - Level 2($),0.8860845013377967,0.5376262626262627,164.81421443389735
X-Ray($),0.04686871513844426,0.03038737189393939,154.23747503413415
Cognito($),0.200118046389935,0.13209745833333333,151.4927303786264
Cost Explorer($),0.10195674261279522,0.07306136363636362,139.54946573437616
Total costs($),6086.776384571185,4514.743137071717,134.81999307094793
Systems Manager($),0.0024593104709146768,0.0018266890909090908,134.63213215395885
SageMaker($),20.429467623500827,15.48449824224192,131.93496685458598
EC2 Container Registry (ECR)($),2.237346896732888,2.1265113894343437,105.21208152701345
EC2-Instances($),237.8137637204533,241.67615393746618,98.40183230571756
CloudWatch($),246.40717506767118,273.436610675849,90.11491711319505
CloudFront($),0.8874979826021169,1.0772486828825758,82.38561779693144
Glacier($),15.00309407163097,20.178072235975506,74.35345604959198
Lambda($),8.46726056899713,11.718293646808839,72.25677068864852
SNS($),13.709210375574708,20.51588324147828,66.82242345705066
Glue($),137.9109241422321,240.45719548360734,57.353627478215294
DMS($),27.51245677993086,48.96755345407929,56.185075298343115
SQS($),2.2199316247483276,4.015687561475758,55.28148270411024
Backup($),4.593463115813411,8.819431412524494,52.08343827347218
Elastic Load Balancing($),25.584296445447595,53.75668971416768,47.59276767502447
Simple Workflow Service($),3.3553008199561853e-07,7.120502525252525e-07,47.121685696434625
Key Management Service($),0.8492675837894286,1.8884394676941918,44.971925143377504
DynamoDB($),5.868102865063706,13.236200240785355,44.33374199781318
Elastic File System($),15.93481748593981,37.3871584278,42.62109814179176
EC2-Other($),156.64882043789635,390.9626588812818,40.06746344680035
S3($),277.0605925754599,725.0632700583992,38.21191943058217
DocumentDB (with MongoDB compatibility)($),59.9824074385812,186.9257291894174,32.08889846180524
Rekognition($),9.10580582408991,30.70202659560606,29.658647437277292
Relational Database Service($),126.25951272787967,483.7836939194872,26.09833988098247
ElastiCache($),13.620797411393864,54.37179332443737,25.051219719971986
Elastic MapReduce($),31.839118867595968,152.6241613462904,20.86112617212414
Managed Streaming for Apache Kafka($),8.07153796379682,41.53947385952525,19.431006736128815
Secrets Manager($),0.166334741680384,0.8847710744545455,18.799749051801687
VPC($),12.254942658428908,76.29610341631995,16.06234409057323
OpenSearch Service($),7.872883004888736,63.93981750654647,12.312958203364706
QuickSight($),4.212515733688108,36.85625915282348,11.429580295224824
Elastic Container Service for Kubernetes($),2.1578111854805564,21.759545016321212,9.916619046317576
Hardened Red Hat Enterprise 7 (RHEL 7)($),1.7712837251648557,18.28020202020202,9.68962883018117
API Gateway($),0.07998328366400287,1.2428566731047979,6.435439048993115
Route 53($),0.061020152130238973,5.687285428045201,1.0729222737676531
Refund($),101.94388257606721,-18.667247474747473,-546.1109502832383
date-time,,2023-10-15 12:00:00,
CodeCommit($),0.0,0.0,
Migration Hub Refactor Spaces($),0.0,0.0,
Location Service($),0.0,0.0,
